Row Labels,Sum of Indian_sales
Wyoming," ? 1,55,504.19 "
Wisconsin," ? 30,23,822.71 "
West Virginia," ? 1,17,352.93 "
Washington," ? 1,31,15,064.45 "
Virginia," ? 68,51,761.84 "
Vermont," ? 8,66,148.89 "
Utah," ? 10,88,345.43 "
Texas," ? 1,63,51,535.62 "
Tennessee," ? 29,74,201.68 "
South Dakota," ? 1,27,609.32 "
South Carolina," ? 8,22,725.87 "
Rhode Island," ? 21,84,927.52 "
Pennsylvania," ? 1,12,78,835.05 "
Oregon," ? 16,76,592.81 "
Oklahoma," ? 19,09,288.83 "
Ohio," ? 72,87,643.95 "
North Dakota," ? 89,231.27 "
North Carolina," ? 53,51,098.51 "
New York," ? 2,97,17,031.26 "
New Mexico," ? 4,64,001.63 "
New Jersey," ? 33,57,264.28 "
New Hampshire," ? 7,07,374.83 "
Nevada," ? 16,22,722.89 "
Nebraska," ? 7,24,098.21 "
Montana," ? 5,42,167.14 "
Missouri," ? 21,53,899.55 "
Mississippi," ? 10,44,819.98 "
Minnesota," ? 28,96,725.55 "
Michigan," ? 73,85,199.18 "
Massachusetts," ? 27,77,540.10 "
Maryland," ? 22,99,435.73 "
Maine," ? 1,23,241.41 "
Louisiana," ? 8,85,711.85 "
Kentucky," ? 35,36,463.83 "
Kansas," ? 2,82,688.07 "
Iowa," ? 4,31,025.32 "
Indiana," ? 47,25,684.80 "
Illinois," ? 76,85,942.15 "
Idaho," ? 4,25,101.14 "
Georgia," ? 46,77,253.67 "
Florida," ? 85,78,343.60 "
District of Columbia," ? 2,77,906.94 "
Delaware," ? 26,50,330.90 "
Connecticut," ? 12,98,282.63 "
Colorado," ? 30,88,635.01 "
California," ? 4,32,91,726.96 "
Arkansas," ? 11,32,778.61 "
Arizona," ? 34,21,447.73 "
Alabama," ? 18,92,532.08 "
Grand Total," ? 21,93,69,067.92 "
